設定,役名,出現率,獲得枚数
1,BIG,246,240
1,REG,149,96
1,ブドウ,11033,8
1,単独チェリー,1840,2
1,ピエロ,60,0
1,ベル,60,0
1,リプレイ,8980,3
1,ハズレ,43168,0
2,BIG,253,240
2,REG,161,96
2,ブドウ,11052,8
2,単独チェリー,1840,2
2,ピエロ,60,0
2,ベル,60,0
2,リプレイ,8980,3
2,ハズレ,43130,0
3,BIG,256,240
3,REG,179,96
3,ブドウ,11146,8
3,単独チェリー,1840,2
3,ピエロ,60,0
3,ベル,60,0
3,リプレイ,8980,3
3,ハズレ,43015,0
4,BIG,263,240
4,REG,203,96
4,ブドウ,11241,8
4,単独チェリー,1840,2
4,ピエロ,60,0
4,ベル,60,0
4,リプレイ,8980,3
4,ハズレ,42889,0
5,BIG,273,240
5,REG,219,96
5,ブドウ,11299,8
5,単独チェリー,1840,2
5,ピエロ,60,0
5,ベル,60,0
5,リプレイ,8980,3
5,ハズレ,42805,0
6,BIG,298,240
6,REG,250,96
6,ブドウ,11358,8
6,単独チェリー,1840,2
6,ピエロ,60,0
6,ベル,60,0
6,リプレイ,8980,3
6,ハズレ,42690,0
