設定,役名,出現率,獲得枚数
1,BIG,253,240
1,REG,185,96
1,ブドウ,10486,8
1,単独チェリー,1962,2
1,ピエロ,60,0
1,ベル,60,0
1,リプレイ,8980,3
1,ハズレ,43550,0
2,BIG,254,240
2,REG,197,96
2,ブドウ,10570,8
2,単独チェリー,1968,2
2,ピエロ,60,0
2,ベル,60,0
2,リプレイ,8980,3
2,ハズレ,43447,0
3,BIG,255,240
3,REG,214,96
3,ブドウ,10656,8
3,単独チェリー,1974,2
3,ピエロ,60,0
3,ベル,60,0
3,リプレイ,8980,3
3,ハズレ,43337,0
4,BIG,258,240
4,REG,244,96
4,ブドウ,10797,8
4,単独チェリー,1980,2
4,ピエロ,60,0
4,ベル,60,0
4,リプレイ,8980,3
4,ハズレ,43157,0
5,BIG,265,240
5,REG,265,96
5,ブドウ,10923,8
5,単独チェリー,1992,2
5,ピエロ,60,0
5,ベル,60,0
5,リプレイ,8980,3
5,ハズレ,42991,0
6,BIG,279,240
6,REG,279,96
6,ブドウ,11070,8
6,単独チェリー,1998,2
6,ピエロ,60,0
6,ベル,60,0
6,リプレイ,8980,3
6,ハズレ,42810,0
