設定,役名,出現率,獲得枚数
1,BIG,240,240
1,REG,165,96
1,ブドウ,10850,8
1,単独チェリー,1159,4
1,ピエロ,100,10
1,ベル,100,14
1,リプレイ,8980,3
1,ハズレ,43942,0
2,BIG,242,240
2,REG,181,96
2,ブドウ,10904,8
2,単独チェリー,1159,4
2,ピエロ,100,10
2,ベル,100,14
2,リプレイ,8980,3
2,ハズレ,43870,0
3,BIG,249,240
3,REG,197,96
3,ブドウ,10959,8
3,単独チェリー,1159,4
3,ピエロ,100,10
3,ベル,100,14
3,リプレイ,8980,3
3,ハズレ,43792,0
4,BIG,258,240
4,REG,218,96
4,ブドウ,11184,8
4,単独チェリー,1159,4
4,ピエロ,100,10
4,ベル,100,14
4,リプレイ,8980,3
4,ハズレ,43537,0
5,BIG,274,240
5,REG,240,96
5,ブドウ,11222,8
5,単独チェリー,1159,4
5,ピエロ,100,10
5,ベル,100,14
5,リプレイ,8980,3
5,ハズレ,43461,0
6,BIG,290,240
6,REG,256,96
6,ブドウ,11260,8
6,単独チェリー,1840,4
6,ピエロ,100,10
6,ベル,100,14
6,リプレイ,8980,3
6,ハズレ,42710,0
