設定,役名,出現率,獲得枚数
1,BIG,240,252
1,REG,149,96
1,ブドウ,10879,8
1,単独チェリー,1840,2
1,ピエロ,60,0
1,ベル,60,0
1,リプレイ,8980,3
1,ハズレ,43328,0
2,BIG,243,252
2,REG,164,96
2,ブドウ,10879,8
2,単独チェリー,1840,2
2,ピエロ,60,0
2,ベル,60,0
2,リプレイ,8980,3
2,ハズレ,43310,0
3,BIG,243,252
3,REG,198,96
3,ブドウ,10879,8
3,単独チェリー,1840,2
3,ピエロ,60,0
3,ベル,60,0
3,リプレイ,8980,3
3,ハズレ,43276,0
4,BIG,253,252
4,REG,208,96
4,ブドウ,10879,8
4,単独チェリー,1840,2
4,ピエロ,60,0
4,ベル,60,0
4,リプレイ,8980,3
4,ハズレ,43256,0
5,BIG,253,252
5,REG,257,96
5,ブドウ,10879,8
5,単独チェリー,1840,2
5,ピエロ,60,0
5,ベル,60,0
5,リプレイ,8980,3
5,ハズレ,43207,0
6,BIG,253,252
6,REG,257,96
6,ブドウ,11207,8
6,単独チェリー,1840,2
6,ピエロ,60,0
6,ベル,60,0
6,リプレイ,8980,3
6,ハズレ,42879,0
