設定,役名,出現率,獲得枚数
1,BIG,244,240
1,REG,175,96
1,ブドウ,10419,8
1,単独チェリー,1760,4
1,ピエロ,100,10
1,ベル,156,14
1,リプレイ,8980,3
1,ハズレ,43702,0
2,BIG,245,240
2,REG,185,96
2,ブドウ,10536,8
2,単独チェリー,1760,4
2,ピエロ,100,10
2,ベル,156,14
2,リプレイ,8980,3
2,ハズレ,43574,0
3,BIG,252,240
3,REG,198,96
3,ブドウ,10656,8
3,単独チェリー,1760,4
3,ピエロ,100,10
3,ベル,156,14
3,リプレイ,8980,3
3,ハズレ,43434,0
4,BIG,263,240
4,REG,225,96
4,ブドウ,10761,8
4,単独チェリー,1760,4
4,ピエロ,100,10
4,ベル,156,14
4,リプレイ,8980,3
4,ハズレ,43291,0
5,BIG,272,240
5,REG,255,96
5,ブドウ,10886,8
5,単独チェリー,1760,4
5,ピエロ,100,10
5,ベル,156,14
5,リプレイ,8980,3
5,ハズレ,43127,0
6,BIG,276,240
6,REG,276,96
6,ブドウ,10996,8
6,単独チェリー,1760,4
6,ピエロ,100,10
6,ベル,156,14
6,リプレイ,8980,3
6,ハズレ,42992,0
