設定,役名,出現率,獲得枚数
1,単独BB,160,240
1,単独REG,100,96
1,チェリーBB,46,240
1,チェリーREG,60,96
1,レアA,10,240
1,レアB,10,240
1,レアP,6,240
1,レアAP,4,240
1,レアBP,4,240
1,レアABP,6,240
1,ブドウ,11108,8
1,非重複チェリー,1720,2
1,ピエロ,64,0
1,ベル,64,0
1,リプレイ,8978,3
1,ハズレ,43196,0
2,単独BB,161,240
2,単独REG,109,96
2,チェリーBB,47,240
2,チェリーREG,61,96
2,レアA,10,240
2,レアB,10,240
2,レアP,6,240
2,レアAP,4,240
2,レアBP,4,240
2,レアABP,6,240
2,ブドウ,11203,8
2,非重複チェリー,1720,2
2,ピエロ,64,0
2,ベル,64,0
2,リプレイ,8978,3
2,ハズレ,43089,0
3,単独BB,164,240
3,単独REG,133,96
3,チェリーBB,48,240
3,チェリーREG,62,96
3,レアA,10,240
3,レアB,10,240
3,レアP,6,240
3,レアAP,4,240
3,レアBP,4,240
3,レアABP,6,240
3,ブドウ,11300,8
3,非重複チェリー,1780,2
3,ピエロ,64,0
3,ベル,64,0
3,リプレイ,8978,3
3,ハズレ,42903,0
4,単独BB,173,240
4,単独REG,161,96
4,チェリーBB,51,240
4,チェリーREG,65,96
4,レアA,10,240
4,レアB,10,240
4,レアP,6,240
4,レアAP,4,240
4,レアBP,4,240
4,レアABP,6,240
4,ブドウ,11338,8
4,非重複チェリー,1840,2
4,ピエロ,64,0
4,ベル,64,0
4,リプレイ,8978,3
4,ハズレ,42762,0
5,単独BB,185,240
5,単独REG,168,96
5,チェリーBB,54,240
5,チェリーREG,76,96
5,レアA,10,240
5,レアB,10,240
5,レアP,6,240
5,レアAP,4,240
5,レアBP,4,240
5,レアABP,6,240
5,ブドウ,11378,8
5,非重複チェリー,1840,2
5,ピエロ,64,0
5,ベル,64,0
5,リプレイ,8978,3
5,ハズレ,42689,0
6,単独BB,194,240
6,単独REG,200,96
6,チェリーBB,58,240
6,チェリーREG,86,96
6,レアA,10,240
6,レアB,10,240
6,レアP,6,240
6,レアAP,4,240
6,レアBP,4,240
6,レアABP,6,240
6,ブドウ,11579,8
6,非重複チェリー,1840,2
6,ピエロ,64,0
6,ベル,64,0
6,リプレイ,8978,3
6,ハズレ,42433,0
