設定,役名,出現率,獲得枚数
1,BIG,245,240
1,REG,154,96
1,ブドウ,11033,8
1,単独チェリー,1844,2
1,ピエロ,64,0
1,ベル,64,0
1,リプレイ,8980,3
1,ハズレ,43152,0
2,BIG,251,240
2,REG,163,96
2,ブドウ,11037,8
2,単独チェリー,1844,2
2,ピエロ,64,0
2,ベル,64,0
2,リプレイ,8980,3
2,ハズレ,43133,0
3,BIG,256,240
3,REG,187,96
3,ブドウ,11040,8
3,単独チェリー,1880,2
3,ピエロ,64,0
3,ベル,64,0
3,リプレイ,8980,3
3,ハズレ,43065,0
4,BIG,270,240
4,REG,203,96
4,ブドウ,11044,8
4,単独チェリー,1884,2
4,ピエロ,64,0
4,ベル,64,0
4,リプレイ,8980,3
4,ハズレ,43027,0
5,BIG,281,240
5,REG,220,96
5,ブドウ,11046,8
5,単独チェリー,1920,2
5,ピエロ,64,0
5,ベル,64,0
5,リプレイ,8980,3
5,ハズレ,42961,0
6,BIG,303,240
6,REG,236,96
6,ブドウ,11053,8
6,単独チェリー,1960,2
6,ピエロ,64,0
6,ベル,64,0
6,リプレイ,8980,3
6,ハズレ,42876,0
